Date,Open,High,Low,Close,Adj Close,Volume
2020-06-10,58.200001,58.799999,54.959999,54.959999,53.925777,6288800
2020-06-11,52.000000,52.980000,48.910000,49.410000,48.480217,6802100
2020-06-12,53.000000,53.369999,49.970001,52.990002,51.992851,4580100
2020-06-15,49.930000,55.700001,49.610001,54.549999,53.523491,5912200
2020-06-16,57.669998,57.959999,54.330002,55.919998,54.867714,4838100
2020-06-17,56.020000,57.049999,54.930000,55.080002,54.043522,5078000
2020-06-18,53.910000,55.700001,53.360001,53.830002,52.817043,4467600
2020-06-19,55.400002,55.400002,52.570000,53.730000,52.718925,9597200
2020-06-22,54.209999,55.029999,53.029999,54.020000,53.003468,4466600
2020-06-23,55.000000,55.630001,54.180000,54.860001,53.827663,3842700
2020-06-24,53.549999,53.730000,50.209999,50.810001,49.853870,4531900
2020-06-25,50.389999,52.119999,49.630001,52.060001,51.080349,4048500
2020-06-26,50.750000,51.000000,47.349998,48.669998,47.754139,7919200
2020-06-29,49.360001,50.160000,48.299999,49.320000,48.391914,8268800
2020-06-30,49.220001,50.470001,48.709999,50.090000,49.147423,7392400
2020-07-01,50.290001,51.500000,48.119999,48.220001,47.312611,3064900
2020-07-02,49.799999,51.070000,48.680000,48.849998,47.930756,3037400
2020-07-06,50.650002,51.400002,49.840000,50.610001,49.657639,2768900
2020-07-07,49.990002,50.200001,47.860001,48.150002,47.243931,4029500
2020-07-08,48.400002,49.040001,47.400002,48.680000,47.763954,3476400
2020-07-09,48.349998,48.419998,45.400002,46.450001,45.575916,3955300
2020-07-10,46.509998,48.450001,46.029999,48.380001,47.469601,3620200
2020-07-13,48.990002,49.799999,47.259998,48.180000,47.273361,3420500
2020-07-14,47.750000,48.220001,46.820000,47.520000,46.625782,2835600
2020-07-15,48.619999,50.689999,48.619999,50.349998,49.402527,3759100
2020-07-16,49.790001,51.360001,49.389999,50.290001,49.343658,2218800
2020-07-17,50.400002,50.740002,48.750000,48.990002,48.068123,2520300
2020-07-20,48.500000,48.849998,47.419998,47.490002,46.596348,2861300
2020-07-21,48.169998,49.419998,47.860001,49.009998,48.087742,4533200
2020-07-22,48.180000,51.099998,48.180000,50.700001,49.745945,4272700
2020-07-23,50.310001,52.980000,49.810001,51.630001,50.658443,6655300
2020-07-24,51.730000,52.099998,50.669998,50.820000,49.863682,3763800
2020-07-27,50.340000,52.240002,49.459999,51.759998,50.785995,3654400
2020-07-28,51.160000,51.889999,50.049999,50.110001,49.167046,2728900
2020-07-29,50.160000,51.860001,49.720001,51.830002,50.854683,2583100
2020-07-30,50.369999,50.480000,49.290001,50.410000,49.461399,2372800
2020-07-31,50.310001,50.529999,48.360001,49.430000,48.499840,2568400
2020-08-03,49.700001,50.340000,48.990002,49.500000,48.568523,3619800
2020-08-04,49.439999,49.720001,48.610001,48.720001,47.803200,3489300
2020-08-05,49.349998,50.540001,49.230000,50.450001,49.500648,3870800
2020-08-06,50.099998,50.799999,49.430000,50.110001,49.167046,2010200
2020-08-07,49.610001,51.430000,48.980000,51.389999,50.422958,2912500
2020-08-10,51.610001,54.369999,51.520000,53.770000,52.758171,3748800
2020-08-11,55.680000,57.669998,55.099998,55.759998,54.710720,3754300
2020-08-12,56.939999,56.950001,53.580002,54.490002,53.464622,3228900
2020-08-13,53.580002,54.759998,53.200001,53.430000,52.424572,1839100
2020-08-14,52.950001,54.869999,52.619999,54.299999,53.278194,1521200
2020-08-17,54.150002,54.320000,52.580002,52.590000,51.600376,2820800
2020-08-18,52.619999,52.990002,50.799999,50.939999,49.981426,3254200
2020-08-19,50.509998,51.439999,49.860001,50.810001,50.288242,1891100
